builder_name:             beneteau usa
type_name:                beneteau oceanis 343
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       51500.0
length_over_all_meters:   10.82
width_meters:             3.48
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93686/XXX
