builder_name:             sylvana yachts inc.
type_name:                van de stadt tasman 48
category:                 zeiljacht
build_material:           aluminium
build_year:               1997.0
asking_price_euros:       149000.0
length_over_all_meters:   14.7
width_meters:             4.5
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89888/XXX
