builder_name:             victoire yachts (nl)
type_name:                victoire 933
category:                 zeiljacht
build_material:           polyester
build_year:               1983.0
asking_price_euros:       24500.0
length_over_all_meters:   9.33
width_meters:             2.95
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87699/XXX
