builder_name:             hallberg-rassy
type_name:                hallberg rassy hallberg rassy 312 scan
category:                 zeiljacht
build_material:           polyester
build_year:               1986.0
asking_price_euros:       52900.0
length_over_all_meters:   9.42
width_meters:             3.08
draft_meters:             1.62
displaces_kgs:            4900.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92551/XXX
