builder_name:             hallberg-rassy
type_name:                hallberg-rassy 29 scandinavia
category:                 zeiljacht
build_material:           polyester
build_year:               1983.0
asking_price_euros:       34900.0
length_over_all_meters:   8.9
width_meters:             2.83
draft_meters:             1.59
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88215/XXX
