builder_name:             None
type_name:                contessa 28
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       18500.0
length_over_all_meters:   8.43
width_meters:             2.88
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92248/XXX
