builder_name:             dehler yachts
type_name:                dehler 36 sq
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       109000.0
length_over_all_meters:   10.95
width_meters:             3.59
draft_meters:             1.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94127/XXX
