builder_name:             hanse yachts
type_name:                hanse yachts hanse 370e
category:                 zeiljacht
build_material:           overig
build_year:               2008.0
asking_price_euros:       89000.0
length_over_all_meters:   11.35
width_meters:             3.7
draft_meters:             1.95
displaces_kgs:            6600.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94886/XXX
