builder_name:             hanse yachts
type_name:                hanse 315
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       63990.0
length_over_all_meters:   9.45
width_meters:             3.15
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88727/XXX
