builder_name:             victoire yachts (nl)
type_name:                victoire 1044
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       69500.0
length_over_all_meters:   10.44
width_meters:             3.24
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91010/XXX
