builder_name:             None
type_name:                ccyd ccyd 55 ocean schooner lifting keel
category:                 zeiljacht
build_material:           overig
build_year:               1981.0
asking_price_euros:       168000.0
length_over_all_meters:   16.45
width_meters:             4.85
draft_meters:             1.85
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92649/XXX
