builder_name:             None
type_name:                hallig
category:                 zeiljacht
build_material:           staal
build_year:               1983.0
asking_price_euros:       69500.0
length_over_all_meters:   11.0
width_meters:             4.0
draft_meters:             0.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91915/XXX
