builder_name:             None
type_name:                midget 31
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       64500.0
length_over_all_meters:   9.55
width_meters:             3.1
draft_meters:             1.35
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95115/XXX
