builder_name:             hanse yachts
type_name:                hanse hanse 411
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       79000.0
length_over_all_meters:   12.35
width_meters:             3.38
draft_meters:             2.0
displaces_kgs:            9000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92647/XXX
